area;ponto;long;lat;coleta;data;month
vvt;P6;-47.57112;-14.18148;6;10/12/2025;dez25
vvt;P7;-47.5714;-14.18145;1;11/09/2024;set24
vvt;P7;-47.5714;-14.18145;2;27/11/2024;nov24
vvt;P7;-47.5714;-14.18145;3;03/02/2025;fev25
vvt;P7;-47.5714;-14.18145;4;05/06/2025;jun25
vvt;P7;-47.5714;-14.18145;5;02/09/2025;set25
vvt;P7;-47.5714;-14.18145;6;10/12/2025;dez25
vvt;P8;-47.5713;-14.18192;1;11/09/2024;set24
vvt;P8;-47.5713;-14.18192;2;27/11/2024;nov24
vvt;P8;-47.5713;-14.18192;3;03/02/2025;fev25
vvt;P8;-47.5713;-14.18192;4;05/06/2025;jun25
vvt;P8;-47.5713;-14.18192;5;02/09/2025;set25
vvt;P8;-47.5713;-14.18192;6;10/12/2025;dez25
vvt;P9;-47.57149;-14.18216;1;11/09/2024;set24
vvt;P9;-47.57149;-14.18216;2;27/11/2024;nov24
vvt;P9;-47.57149;-14.18216;3;03/02/2025;fev25
vvt;P9;-47.57149;-14.18216;4;05/06/2025;jun25
vvt;P9;-47.57149;-14.18216;5;02/09/2025;set25
vvt;P9;-47.57149;-14.18216;6;10/12/2025;dez25
vvt;P10;-47.57159;-14.18261;1;11/09/2024;set24
vvt;P10;-47.57159;-14.18261;2;27/11/2024;nov24
vvt;P10;-47.57159;-14.18261;3;03/02/2025;fev25
vvt;P10;-47.57159;-14.18261;4;05/06/2025;jun25
vvt;P10;-47.57159;-14.18261;5;02/09/2025;set25
vvt;P10;-47.57159;-14.18261;6;10/12/2025;dez25
